title,author,avg_rating,genre,published_year,price,currency,cover_url,link
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,Young Adult Fiction,2009.0,13.64,EUR,http://books.google.com/books/content?id=Yz8Fnw0PlEQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2767052-the-hunger-games
Pride and Prejudice,Jane Austen,4.29,Courtship,1918.0,,None,http://books.google.com/books/content?id=s1gVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,4.26,Alabama,1982.0,,None,http://books.google.com/books/content?id=3t5dtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,Juvenile Fiction,2015.0,,None,http://books.google.com/books/content?id=zpvysRGsBlwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
The Book Thief,Markus Zusak,4.39,Young Adult Fiction,2014.0,15.17,EUR,http://books.google.com/books/content?id=01EZAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.67,Juvenile Nonfiction,2013.0,89.26,EUR,http://books.google.com/books/content?id=9JBlAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,4.01,Fiction,2021.0,3.99,EUR,http://books.google.com/books/content?id=46X-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,Fiction,2012.0,,None,http://books.google.com/books/content?id=8geXpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,Juvenile Fiction,2016.0,11.46,EUR,http://books.google.com/books/content?id=6EIoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,4.12,Young Adult Fiction,2012.0,7.99,EUR,http://books.google.com/books/content?id=Qk8n0olOX5MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,Oscar Wilde,4.13,Fiction,1981.0,,None,http://books.google.com/books/content?id=icSwNbJng4wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,None,2010.0,,None,,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Wuthering Heights,Emily Brontë,3.9,None,2012.0,0.5,EUR,http://books.google.com/books/content?id=tSX11yxTH2AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6185.Wuthering_Heights
The Giving Tree,Shel Silverstein,4.38,Juvenile Fiction,2014.0,10.99,EUR,http://books.google.com/books/content?id=1IleAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/370493.The_Giving_Tree
Gone with the Wind,Margaret Mitchell,4.31,United States,1964.0,,None,,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Perks of Being a Wallflower,Stephen Chbosky,4.24,Fiction,2012.0,,None,http://books.google.com/books/content?id=pK0X5FyUs28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
The Little Prince,Antoine de Saint-Exupéry,4.33,Juvenile Fiction,1995.0,,None,http://books.google.com/books/content?id=CQYg20lTHtMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/157993.The_Little_Prince
Jane Eyre,Charlotte Brontë,4.16,Governesses in literature,1847.0,,None,,https://www.goodreads.com/book/show/10210.Jane_Eyre
The Great Gatsby,F. Scott Fitzgerald,3.93,Fiction,,1.48,EUR,http://books.google.com/books/content?id=4NXVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
Crime and Punishment,Fyodor Dostoevsky,4.28,Fiction,2017.0,,None,http://books.google.com/books/content?id=hlExDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,Fiction,2010.0,11.99,EUR,http://books.google.com/books/content?id=ASDy1OLaP1cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,Fiction,2009.0,7.13,EUR,http://books.google.com/books/content?id=JiiQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"Divergent (Divergent, #1)",Veronica Roth,4.13,Young Adult Fiction,2011.0,8.99,EUR,http://books.google.com/books/content?id=nv9lZM_0RI4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13335037-divergent
Memoirs of a Geisha,Arthur Golden,4.16,Fiction,1997.0,,None,http://books.google.com/books/content?id=nhmjYyUjCOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
Les Misérables,Victor Hugo,4.21,Fiction,2024.0,,None,http://books.google.com/books/content?id=IMAyEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24280.Les_Mis_rables
The Alchemist,Paulo Coelho,3.92,Business & Economics,2009.0,10.21,EUR,http://books.google.com/books/content?id=FEL8DlqjYEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/865.The_Alchemist
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,Juvenile Fiction,1968.0,,None,http://books.google.com/books/content?id=jfhq49WlmIgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Lord of the Flies,William Golding,3.7,Fiction,2003.0,,None,http://books.google.com/books/content?id=3KRdJZbAN_sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Brave New World,Aldous Huxley,3.99,Fiction,2022.0,,None,http://books.google.com/books/content?id=3PabEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5129.Brave_New_World
Romeo and Juliet,William Shakespeare,3.74,Education,2013.0,4.49,EUR,http://books.google.com/books/content?id=MtjrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,Fiction,2002.0,,None,http://books.google.com/books/content?id=Fu2VnsEW8S0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,Juvenile Fiction,2013.0,,None,http://books.google.com/books/content?id=gv02GL9CgdQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/256683.City_of_Bones
The Help,Kathryn Stockett,4.47,Fiction,2009.0,8.99,EUR,http://books.google.com/books/content?id=mpuhNtrkrV8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4667024-the-help
Dracula,Bram Stoker,4.02,Fiction,2025.0,1.99,EUR,http://books.google.com/books/content?id=ELHiCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17245.Dracula
Charlotte’s Web,E.B. White,4.21,Juvenile Fiction,2015.0,6.29,EUR,http://books.google.com/books/content?id=bQKCBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Fahrenheit 451,Ray Bradbury,3.97,None,2008.0,,None,http://books.google.com/books/content?id=FJe4b2Un4H4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Of Mice and Men,John Steinbeck,3.89,Fiction,2024.0,2.73,EUR,http://books.google.com/books/content?id=YDP9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,Fiction,2013.0,,None,http://books.google.com/books/content?id=_ZghmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/375802.Ender_s_Game
1984,George Orwell,4.2,Fiction,2023.0,5.99,EUR,http://books.google.com/books/content?id=iqHIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40961427-1984
The Catcher in the Rye,J.D. Salinger,3.8,Study Aids,1995.0,,None,http://books.google.com/books/content?id=M3dJfixJ6lIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,None,1876.0,,None,http://books.google.com/books/content?id=eHI1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1934.Little_Women
One Hundred Years of Solitude,Gabriel García Márquez,4.12,Fiction,2014.0,8.99,EUR,http://books.google.com/books/content?id=RyGVAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
A Thousand Splendid Suns,Khaled Hosseini,4.45,Fiction,2008.0,,None,http://books.google.com/books/content?id=3vo0NQbIN2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Outsiders,S.E. Hinton,4.14,Young Adult Fiction,2012.0,9.09,EUR,http://books.google.com/books/content?id=ha6GIYze5lEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/231804.The_Outsiders
The Secret Garden,Frances Hodgson Burnett,4.17,None,1991.0,,None,,https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Princess Bride,William Goldman,4.27,Family & Relationships,2007.0,,None,http://books.google.com/books/content?id=-TEhWYITfkYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/21787.The_Princess_Bride
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,Fiction,2003.0,8.32,EUR,http://books.google.com/books/content?id=5NomkK4EV68C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Time Traveler's Wife,Audrey Niffenegger,4.0,Fiction,2003.0,,None,http://books.google.com/books/content?id=n2RhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,Juvenile Fiction,2015.0,9.99,EUR,http://books.google.com/books/content?id=gCtazG4ZXlQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Odyssey,Homer,3.83,Fiction,2012.0,1.09,EUR,http://books.google.com/books/content?id=IdJN5DRXFwcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1381.The_Odyssey
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.9,Fiction,2018.0,9.09,EUR,http://books.google.com/books/content?id=bWOuDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/35031085-frankenstein
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,Juvenile Fiction,2010.0,6.95,EUR,http://books.google.com/books/content?id=r119-dYq0mwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,Fiction,1986.0,13.99,EUR,http://books.google.com/books/content?id=ZrsVZKWJg4UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Kite Runner,Khaled Hosseini,4.35,None,2011.0,,None,,https://www.goodreads.com/book/show/77203.The_Kite_Runner
"The Giver (The Giver, #1)",Lois Lowry,4.12,Juvenile Fiction,2011.0,,None,http://books.google.com/books/content?id=hKN9xV-xl2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3636.The_Giver
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,Juvenile Fiction,2015.0,9.99,EUR,http://books.google.com/books/content?id=wHlDzHnt6x0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,Comics & Graphic Novels,2017.0,5.87,EUR,http://books.google.com/books/content?id=I3grDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
Dune (Dune #1),Frank Herbert,4.29,Fiction,2023.0,,None,http://books.google.com/books/content?id=huy3EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/44767458-dune
Where the Wild Things Are,Maurice Sendak,4.25,None,1963.0,,None,,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
Green Eggs and Ham,Dr. Seuss,4.31,Juvenile Fiction,2013.0,4.04,EUR,http://books.google.com/books/content?id=ZK7xAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
The Lovely Bones,Alice Sebold,3.86,Fiction,2018.0,12.56,EUR,http://books.google.com/books/content?id=w6H8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain,3.83,Fiction,2021.0,2.49,EUR,http://books.google.com/books/content?id=6u8sEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Life of Pi,Yann Martel,3.94,Performing Arts,2022.0,12.56,EUR,http://books.google.com/books/content?id=c3JeEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4214.Life_of_Pi
Lolita,Vladimir Nabokov,3.87,Fiction,2010.0,,None,http://books.google.com/books/content?id=utvB0I_0SZsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7604.Lolita
A Tale of Two Cities,Charles Dickens,3.88,English literature,1868.0,,None,http://books.google.com/books/content?id=YqfPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,None,1973.0,,None,,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Bell Jar,Sylvia Plath,4.05,Fiction,2014.0,,None,http://books.google.com/books/content?id=vRPtAQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,Roald Dahl,4.33,Juvenile Fiction,2007.0,,None,http://books.google.com/books/content?id=IClpljgfEZEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/39988.Matilda
Water for Elephants,Sara Gruen,4.11,Fiction,2007.0,9.49,EUR,http://books.google.com/books/content?id=mHZ4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/43641.Water_for_Elephants
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,None,2002.0,,None,http://books.google.com/books/content?id=2_zzAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone
The Stand,Stephen        King,4.35,Fiction,2016.0,13.99,EUR,http://books.google.com/books/content?id=M0DgBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,3.99,None,1973.0,,None,,https://www.goodreads.com/book/show/168668.Catch_22
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,"Detective and mystery stories, English",1893.0,,None,http://books.google.com/books/content?id=L-I99mByKUsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,Fiction,2008.0,14.99,EUR,http://books.google.com/books/content?id=CiCYALkUTaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Rebecca,Daphne du Maurier,4.25,Fiction,2016.0,13.99,EUR,http://books.google.com/books/content?id=VkeWCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17899948-rebecca
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,Juvenile Fiction,2023.0,14.99,EUR,http://books.google.com/books/content?id=AMPDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/76620.Watership_Down
Great Expectations,Charles Dickens,3.8,None,1881.0,,None,http://books.google.com/books/content?id=fhUXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2623.Great_Expectations
The Color Purple,Alice Walker,4.28,Fiction,1982.0,,None,http://books.google.com/books/content?id=ZIogAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/52892857-the-color-purple
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,Fiction,2017.0,24.99,EUR,http://books.google.com/books/content?id=4iybDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10964.Outlander
Anna Karenina,Leo Tolstoy,4.1,Fiction,2016.0,,None,http://books.google.com/books/content?id=1DooDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/15823480-anna-karenina
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.4,Fiction,2009.0,11.14,EUR,http://books.google.com/books/content?id=xFr92V2k3PIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
