title,author,avg_rating,genre,published_year,price,currency,cover_url,link
Infinite Jest,David Foster Wallace,4.113022312373225,Fiction,2011-12-15,15.99,EUR,http://books.google.com/books/content?id=rd5mAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6759.Infinite_Jest
"The Host (The Host, #1)",Stephenie Meyer,4.113022312373225,,1840,,,http://books.google.com/books/content?id=GxkuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1656001.The_Host
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.113022312373225,Literary Criticism,2011-05-09,62.05,EUR,http://books.google.com/books/content?id=QumrAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/19302.Pippi_Longstocking
Death of a Salesman,Arthur Miller,4.113022312373225,Foreign Language Study,2020-07-17,5.99,EUR,http://books.google.com/books/content?id=vyn_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman
Carrie,Stephen        King,4.113022312373225,Fiction,2000-09,,,http://books.google.com/books/content?id=gm1_ZjzjEboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10592.Carrie
"Evermore (The Immortals, #1)",Alyson Noel,4.113022312373225,Juvenile Fiction,2010-12-03,10.99,EUR,http://books.google.com/books/content?id=EJFfFUf5ZUUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3975774-evermore
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.113022312373225,Biography & Autobiography,2009-04-21,8.45,EUR,http://books.google.com/books/content?id=VdxNlZidgikC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
The Scarlet Pimpernel,Emmuska Orczy,4.113022312373225,,2016-11-08,,,,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
Local Woman Missing,Mary Kubica,4.113022312373225,Fiction,2021-05-18,8.6,EUR,http://books.google.com/books/content?id=Mu_yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/57361474-local-woman-missing
Jonathan Strange & Mr Norrell,Susanna Clarke,4.113022312373225,Fiction,2009-02-24,13.81,EUR,http://books.google.com/books/content?id=xTG1BM3u8MoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
