title,author,avg_rating,genre,cover_url,link
Infinite Jest,David Foster Wallace,,Fiction,http://books.google.com/books/content?id=rd5mAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6759.Infinite_Jest
"The Host (The Host, #1)",Stephenie Meyer,,,http://books.google.com/books/content?id=ahEBa2gR4UwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1656001.The_Host
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,,Literary Criticism,http://books.google.com/books/content?id=QumrAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/19302.Pippi_Longstocking
Death of a Salesman,Arthur Miller,,Foreign Language Study,http://books.google.com/books/content?id=vyn_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman
Carrie,Stephen        King,,Fiction,http://books.google.com/books/content?id=gm1_ZjzjEboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10592.Carrie
"Evermore (The Immortals, #1)",Alyson Noel,,Juvenile Fiction,http://books.google.com/books/content?id=EJFfFUf5ZUUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3975774-evermore
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,,Biography & Autobiography,http://books.google.com/books/content?id=VdxNlZidgikC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
The Scarlet Pimpernel,Emmuska Orczy,,,,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
Local Woman Missing,Mary Kubica,,Fiction,http://books.google.com/books/content?id=Mu_yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/57361474-local-woman-missing
Jonathan Strange & Mr Norrell,Susanna Clarke,,Fiction,http://books.google.com/books/content?id=xTG1BM3u8MoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,,History,http://books.google.com/books/content?id=diAFQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,,Fiction,http://books.google.com/books/content?id=9pQQDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,,Juvenile Fiction,http://books.google.com/books/content?id=aNIjFj0DyckC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/249747.Artemis_Fowl
Snow Flower and the Secret Fan,Lisa See,,Fiction,http://books.google.com/books/content?id=SjNjTyG47vEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan
"Faust, First Part",Johann Wolfgang von Goethe,,,http://books.google.com/books/content?id=ma2RzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/14706.Faust_First_Part
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,,Young Adult Fiction,http://books.google.com/books/content?id=dTwyEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17675462-the-raven-boys
Sharp Objects,Gillian Flynn,,Fiction,http://books.google.com/books/content?id=nikRUi7nUj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/18045891-sharp-objects
Northanger Abbey,Jane Austen,,Fiction,http://books.google.com/books/content?id=6mEGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/50398.Northanger_Abbey
Night,Elie Wiesel,,Biography & Autobiography,http://books.google.com/books/content?id=ELbHiPmYSM4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1617.Night
"Matched (Matched, #1)",Ally Condie,,Juvenile Fiction,http://books.google.com/books/content?id=0ofpjCLBT1cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7735333-matched
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,,Young Adult Fiction,http://books.google.com/books/content?id=uIjl2YVrV6AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
