title,author,avg_rating,genre,price,currency,cover_url,link,cluster,pca_1,pca_2
11/22/63,Stephen        King,4.35,Fiction,11.86,EUR,http://books.google.com/books/content?id=2pl0YOznbxcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10644930-11-22-63,1,1.472774283621396,-0.7127998697730132
1984,George Orwell,4.2,Fiction,5.99,EUR,http://books.google.com/books/content?id=iqHIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40961427-1984,0,-0.03784502885840561,-0.8502715057159252
"1Q84 (1Q84, #1-3)",Haruki Murakami,4.11,Education,9.99,EUR,http://books.google.com/books/content?id=VkhtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10357575-1q84,0,0.11174080392928788,0.12320293299394075
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=Mf5AAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/70535.2001,0,-0.028641730007906388,-0.017179600943258457
"84, Charing Cross Road",Helene Hanff,4.11,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/368916.84_Charing_Cross_Road,0,-0.028641730007906388,-0.017179600943258457
A Bend in the Road,Nicholas Sparks,4.11,Fiction,5.99,EUR,http://books.google.com/books/content?id=0PfsozpteMsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/3463.A_Bend_in_the_Road,0,-0.44978933181948927,-0.4383272027548561
"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,4.11,Fiction,3.99,EUR,http://books.google.com/books/content?id=DrSZF-wDZCAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10965.A_Breath_of_Snow_and_Ashes,0,-0.7305543996938778,-0.7190922706292545
A Brief History of Time,Stephen Hawking,4.11,Science,8.99,NAN,http://books.google.com/books/content?id=A9nWaIpeXhkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,0,-0.028641730007906388,-0.017179600943258457
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=7JNaAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,0,-0.028641730007906388,-0.017179600943258457
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.14,Biography & Autobiography,8.99,NAN,http://books.google.com/books/content?id=doyjAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/60748.A_Child_Called_It_,0,0.10867303764578543,-0.15449436859694549
