title,author,avg_rating,genre,published_year,price,currency,cover_url,link,published_year,genre,cover_url
Infinite Jest,David Foster Wallace,,Unknown,,8.99,,,https://www.goodreads.com/book/show/6759.Infinite_Jest,2011-12-15,Fiction,http://books.google.com/books/content?id=rd5mAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Host (The Host, #1)",Stephenie Meyer,,Unknown,,8.99,,,https://www.goodreads.com/book/show/1656001.The_Host,1840,,http://books.google.com/books/content?id=GxkuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,,Unknown,,8.99,,,https://www.goodreads.com/book/show/19302.Pippi_Longstocking,2011-05-09,Literary Criticism,http://books.google.com/books/content?id=QumrAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Death of a Salesman,Arthur Miller,,Unknown,,8.99,,,https://www.goodreads.com/book/show/12898.Death_of_a_Salesman,2020-07-17,Foreign Language Study,http://books.google.com/books/content?id=vyn_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Carrie,Stephen        King,,Unknown,,8.99,,,https://www.goodreads.com/book/show/10592.Carrie,2000-09,Fiction,http://books.google.com/books/content?id=gm1_ZjzjEboC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Evermore (The Immortals, #1)",Alyson Noel,,Unknown,,8.99,,,https://www.goodreads.com/book/show/3975774-evermore,2010-12-03,Juvenile Fiction,http://books.google.com/books/content?id=EJFfFUf5ZUUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,,Unknown,,8.99,,,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,2009-04-21,Biography & Autobiography,http://books.google.com/books/content?id=VdxNlZidgikC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Scarlet Pimpernel,Emmuska Orczy,,Unknown,,8.99,,,https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel,2016-11-08,,
Local Woman Missing,Mary Kubica,,Unknown,,8.99,,,https://www.goodreads.com/book/show/57361474-local-woman-missing,2021-05-18,Fiction,http://books.google.com/books/content?id=Mu_yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Jonathan Strange & Mr Norrell,Susanna Clarke,,Unknown,,8.99,,,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,2009-02-24,Fiction,http://books.google.com/books/content?id=xTG1BM3u8MoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,,Unknown,,8.99,,,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City,2004,History,http://books.google.com/books/content?id=diAFQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
