title,price,currency
Infinite Jest,15.99,EUR
"The Host (The Host, #1)",,
"Pippi Longstocking (Pippi Långstrump, #1)",62.05,EUR
Death of a Salesman,5.99,EUR
Carrie,,
"Evermore (The Immortals, #1)",10.99,EUR
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",8.45,EUR
The Scarlet Pimpernel,,
Local Woman Missing,8.6,EUR
Jonathan Strange & Mr Norrell,13.81,EUR
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",,
"Artemis Fowl (Artemis Fowl, #1)",,
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",11.3,EUR
Snow Flower and the Secret Fan,10.87,EUR
"Faust, First Part",,
"The Raven Boys (The Raven Cycle, #1)",,
Sharp Objects,7.9,EUR
Northanger Abbey,7.99,EUR
Night,10.05,EUR
"Matched (Matched, #1)",7.99,EUR
"Anna and the French Kiss (Anna and the French Kiss, #1)",5.91,EUR
"The Angel Experiment (Maximum Ride, #1)",2.99,EUR
Waiting for Godot,,
The Haunting of Hill House,8.99,EUR
High Fidelity,,
To the Lighthouse,3.99,EUR
"The Tales of Beedle the Bard (Hogwarts Library, #3)",,
The Shipping News,13.84,EUR
The Goldfinch,6.49,EUR
Nineteen Minutes,13.84,EUR
"The Chosen (Reuven Malter, #1)",22.75,EUR
Emma,,
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",,
Shantaram,6.99,EUR
"Neuromancer (Sprawl, #1)",7.99,EUR
Pet Sematary,,
"I, Robot (Robot, #0.1)",8.45,EUR
"The Return of the King (The Lord of the Rings, #3)",6.29,EUR
Houdini Heart,,
A Christmas Carol,,
Redeeming Love,11.85,EUR
"A Dance with Dragons (A Song of Ice and Fire, #5)",7.9,EUR
The Reader,8.89,EUR
"The Lost Symbol (Robert Langdon, #3)",8.99,EUR
The Collector,,
"The Wicked King (The Folk of the Air, #2)",,
Dubliners,,
The Age of Innocence,2.55,EUR
"Angels & Demons (Robert Langdon, #1)",8.99,EUR
The Republic,8.49,EUR
"The Queen of Nothing (The Folk of the Air, #3)",,
"The Bad Beginning (A Series of Unfortunate Events, #1)",5.69,EUR
The Waste Land,,
"Sheever's Journal, Diary of a Poison Master",,
The Silent Patient,0.99,EUR
Requiem for a Dream,18.18,EUR
"Voyager (Outlander, #3)",8.99,EUR
"City of Glass (The Mortal Instruments, #3)",,
The Twilight Collection,,
"The Two Towers (The Lord of the Rings, #2)",,
The Jungle,9.09,EUR
"Lover Awakened (Black Dagger Brotherhood, #3)",,
Divine Secrets of the Ya-Ya Sisterhood,,
"Betrayed (House of Night, #2)",10.83,EUR
Me Talk Pretty One Day,5.99,EUR
The Pearl,7.99,EUR
Sense and Sensibility,,
Snow Falling on Cedars,,
"The Last Battle (Chronicles of Narnia, #7)",11.46,EUR
"Untamed (House of Night, #4)",10.83,EUR
"I, Claudius (Claudius, #1)",,
"The Exorcist (The Exorcist, #1)",,
Less Than Zero,11.99,EUR
"The Elite (The Selection, #2)",8.99,EUR
"Words of Radiance (The Stormlight Archive, #2)",9.99,EUR
The Beach,,
